Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Structure,-0.078632,0.000641,0.07911,0,0,0,92.916038,4.253521,-0.023251,0.07405,23.791254,0.0017,21.41962,0,0,0,0,0,0,package://Blucy/meshes/Structure.STL,0.15,0.15,0.15,1,0,0,0,0,0,0,package://Blucy/meshes/Structure.STL,,cover_back_dim_2-1;cover_dim_01-1;vert_dim-2;vert_dim-1;radiomodem-1;lateral_thrusters-2;heave_thrusters-2;main_thrusters-2;main_thrusters-1;pinger_USBL-1;lateral_thrusters-1;main_thruster_dim-2;ngc-1;wifi-1;big_dim-2;vert_thrusters_dim-4;cover_front_dim-1;thruster_dim_assem-1;heave_thrusters-1;main_thruster_dim-1;hook-1;transv_plate_dim-1;hook_dim-1;top_dim-1;electronics_dim-1;electronics_dim-2;vert_thrusters_dim-2;battery_dim-2;battery_dim-1;multibeam_dim-1;cover_back_dim-1;bow_led_dim-2;front_cover_dim-2;led_bow_dim-2;side_dim-2;cover_back_dim-2;bow_led_dim-1;cover_back_upper_dim-1;front_cover_dim-1;side_dim-1;small_dim-1;support_dim-1;transponder_USBL-1;support_dim-2;foot_dim-1;multibeam_electronics-1;flangia_sim_dim-1;bottom_dim-1;big_dim-1,main_coordinate_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Propeller1,-0.021949,-5E-06,4E-06,0,0,0,0.086465,0.000107,0,0,6.5E-05,0,6.5E-05,0,0,0,0,0,0,package://Blucy/meshes/Propeller1.STL,1,0,0,1,0,0,0,0,0,0,package://Blucy/meshes/Propeller1.STL,,propeller-5,Coordinate SystemM1,AxisM1,Propeller1_joint,continuous,-0.79491,0.23307,0.014352,0,0,0,Structure,-1,0,0,0.76,314.16,,,,,4.97E-06,0.00386,,,,
Propeller2,-0.021949,3E-06,5E-06,0,0,0,0.086465,0.000107,0,0,6.5E-05,0,6.5E-05,0,0,0,0,0,0,package://Blucy/meshes/Propeller2.STL,1,0,0,1,0,0,0,0,0,0,package://Blucy/meshes/Propeller2.STL,,propeller-6,Coordinate SystemM2,AxisM2,Propeller2_joint,continuous,-0.79491,-0.23193,0.014352,0,0,0,Structure,-1,0,0,0.76,314.16,,,,,4.97E-06,0.00386,,,,
Propeller3,-4E-06,5E-06,0.021949,0,0,0,0.086465,6.5E-05,0,0,6.5E-05,0,0.000107,0,0,0,0,0,0,package://Blucy/meshes/Propeller3.STL,1,0,0,1,0,0,0,0,0,0,package://Blucy/meshes/Propeller3.STL,,propeller-1,Coordinate SystemM3,AxisM3,Propeller3_joint,continuous,0.63209,0.00057381,0.34835,0,0,0,Structure,0,0,-1,0.76,314.16,,,,,4.97E-06,0.00386,,,,
Propeller4,-6E-06,0,0.021949,0,0,0,0.086565,6.5E-05,0,0,6.5E-05,0,0.000107,0,0,0,0,0,0,package://Blucy/meshes/Propeller4.STL,1,0,0,1,0,0,0,0,0,0,package://Blucy/meshes/Propeller4.STL,,propeller-2,Coordinate SystemM4,AxisM4,Propeller4_joint,continuous,-0.81791,0.00057381,0.34835,0,0,0,Structure,0,0,-1,0.76,314.16,,,,,4.97E-06,0.00386,,,,
Propeller5,-6E-06,0.021949,0,0,0,0,0.086465,6.5E-05,0,0,0.000107,0,6.5E-05,0,0,0,0,0,0,package://Blucy/meshes/Propeller5.STL,1,0,0,1,0,0,0,0,0,0,package://Blucy/meshes/Propeller5.STL,,propeller-3,Coordinate SystemM5,AxisM5,Propeller5_joint,continuous,0.50759,0.090574,0.13635,0,0,0,Structure,0,-1,0,0.76,314.16,,,,,4.97E-06,0.00386,,,,
Propeller6,6E-06,-0.021949,-3E-06,0,0,0,0.086465,6.5E-05,0,0,0.000107,0,6.5E-05,0,0,0,0,0,0,package://Blucy/meshes/Propeller6.STL,1,0,0,1,0,0,0,0,0,0,package://Blucy/meshes/Propeller6.STL,,propeller-4,Coordinate SystemM6,AxisM6,Propeller6_joint,continuous,-0.64241,-0.089426,0.13635,0,0,0,Structure,0,1,0,0.76,314.16,,,,,4.97E-06,0.00386,,,,
Multibeam,0.001883,-3E-06,0.069564,0,0,0,5.0226,0.023532,-3E-06,-8.3E-05,0.016469,2.2E-05,0.02491,0,0,0,0,0,0,package://Blucy/meshes/Multibeam.STL,0.75,0.75,0.75,1,0,0,0,0,0,0,package://Blucy/meshes/Multibeam.STL,,multibeam_assem-2,Coordinate System_multibeam,,Multibeam_joint,fixed,0.68799,0.00066019,-0.26331,0,0,0,Structure,0,0,0,,,,,,,,,,,,
Nikon_camera,0,0,0.10988,0,0,0,12.782,0.13023,0,0,0.1289,0,0.083075,0,0,0,0,0,0,package://Blucy/meshes/Nikon_camera.STL,0.75,0.75,0.75,1,0,0,0,0,0,0,package://Blucy/meshes/Nikon_camera.STL,,nikon_assem-1,Coordinate System_camera,,Nikon_camera_joint,fixed,0.48259,0.013074,-0.25065,0,0,0,Structure,0,0,0,,,,,,,,,,,,
DVL,0.01692,-0.006011,0.095644,0,0,0,4.8765,0.034745,1.1E-05,-0.005105,0.031422,6E-06,0.029824,0,0,0,0,0,0,package://Blucy/meshes/DVL.STL,0.75,0.75,0.75,1,0,0,0,0,0,0,package://Blucy/meshes/DVL.STL,,DVL_assem-1,Coordinate System_DVL,,DVL_joint,fixed,-0.50942,-0.0059041,-0.29765,0,0,0,Structure,0,0,0,,,,,,,,,,,,
